Ancient pop	Sex	Age	Country	Lat	Long	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z	total
Dominican Atajadizo Ceramic	F	702	Dominican Republic	18.394444	-68.61	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dominican Atajadizo Ceramic	M	706	Dominican Republic	18.394444	-68.61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican CuevaJuana Ceramic	F	1249	Dominican Republic	19.24	-69.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican CuevaRoja Archaic	F	1887	Dominican Republic	17.87	-71.65	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican ElFrances Ceramic	M	956	Dominican Republic	19.2	-69.218889	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican JuanDolio Ceramic	F	520	Dominican Republic	18.43	-69.41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dominican JuanDolio Ceramic	M	660	Dominican Republic	18.43	-69.41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican LaCaleta Ceramic	F	625	Dominican Republic	18.45	-69.69	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican LaCaleta Ceramic	M	645	Dominican Republic	18.451	-69.686	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Egypt Ptolemaic contam	M	1997	Egypt	29.9	31.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
England BellBeaker	F	4091	United Kingdom	51.7977	-1.313464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
England BellBeaker	M	4250	United Kingdom	51.24	-1.76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
England BellBeaker lowEEF	F	4042	United Kingdom	52.34	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
England C EBA	F	3890	United Kingdom	52.37477825	-1.1745335	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
England C EBA	M	3886	United Kingdom	51.981931599999996	-1.2027084399999999	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	5
England C EBA lowEEF	M	4034	United Kingdom	53.079803	-1.640942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
England Derbyshire IA oEEF.SG	M	2236	United Kingdom	53.08026	-1.640609	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England EIA	F	2455	United Kingdom	51.168023	-1.7725402	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England EIA	M	2468	United Kingdom	51.4581565	-0.42911455	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	4
England EarlyMedieval	F	1350	United Kingdom	50.789115	0.082351	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
England EarlyMedieval	M	1319	United Kingdom	52.01170875	-2.1792478815	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4
England EarlyMedieval 1d.rel.I11574.I11572	M	1350	United Kingdom	50.600091	-2.036950526	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England EarlyMedieval Saxon	F	1352	United Kingdom	53.47399266666667	-0.343826	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3
England EarlyMedieval Saxon	M	1450	United Kingdom	54.170989	-0.605739	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3
England EarlyMedieval Saxon.SG	F	1227	United Kingdom	52.08	0.18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England EarlyMedieval father.I14541	M	1350	United Kingdom	50.789115	0.082351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
England EarlyMedieval o	F	1350	United Kingdom	50.789115	0.082351	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England EastYorkshire MIA LIA	F	2175	United Kingdom	53.919396	-0.766635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
England EastYorkshire MIA LIA	M	2175	United Kingdom	53.919396	-0.766635	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
England IA	F	2329	United Kingdom	50.539905	-4.997809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
England IA Roman.SG	M	1750	United Kingdom	53.958333	-1.080278	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
England Kent AngloSaxon Emedieval lc	M	1300	United Kingdom	51.245326	1.303369	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England LBA	F	2800	United Kingdom	51.330985	-2.050187	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England LBA lc	M	2945	United Kingdom	54.176006	-2.416361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
England LIA	F	1960	United Kingdom	51.255523	-2.667883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
England LIA	M	1989	United Kingdom	52.639455	-2.1872325	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
England MBA	F	3271	United Kingdom	51.3603	1.3405	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
England MBA	M	3292	United Kingdom	51.520803	-1.2634029999999998	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
England MIA	F	2258	United Kingdom	51.79671466666667	-1.1503165	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	6
England MIA	M	2247	United Kingdom	51.157718599999995	-0.9126448399999999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	5
England MIA LIA	F	2214	United Kingdom	51.009992499999996	-2.012921	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
England MIA LIA	M	2157	United Kingdom	52.537532666666664	-1.6907416666666666	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	6
England MIA lc	M	2250	United Kingdom	51.7977	-1.313464	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England MIA lowEEF	F	2225	United Kingdom	53.079803	-1.640942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
England Mesolithic.SG	F	9257	United Kingdom	50.468169	-3.503071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
England N	M	5006	United Kingdom	52.1794015	-2.192133	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
England N Megalithic	M	5600	United Kingdom	51.861211	-1.883011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
England N o	M	5813	United Kingdom	51.31951	-2.94847	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England Viking.SG	M	1010	United Kingdom	51.76	-1.26	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4
England Viking lc.SG	M	1010	United Kingdom	51.76	-1.26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
England Viking o.SG	M	1010	United Kingdom	51.76	-1.26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Estonia BA.SG	M	2946	Estonia	59.4393	25.0101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
Estonia BA.SG 1d.rel.s19 V14 2.SG	M	3049	Estonia	59.4972	25.5114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Estonia CordedWare.SG o1	F	4442	Estonia	59.408	27.026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Estonia EMN Narva	M	6594	Estonia	58.272	26.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Estonia EarlyViking.SG	M	1200	Estonia	58.17	22.25	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	1	0	0	0	0	7
Estonia IA.SG	M	2345	Estonia	58.3335	22.0196	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Faroes EarlyModern.SG	F	350	Faroes	61.85	-6.8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Faroes EarlyModern 1d.rel.VK236.VK25.SG	M	350	Faroes	61.85	-6.8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
France BA	M	3737	France	47.530731	-3.138309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
France BellBeaker LowSteppe	M	4198	France	45.46	6.213	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
France EN MN o	M	7051	France	43.7	6.99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
France GrandEst IA1.SG	F	2700	France	48.44526	7.67118	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
France GrandEst IA2	F	2200	France	48.80181	4.27874	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
France GrandEst IA2.SG	F	2290	France	48.07935	7.35851	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
France GrandEst LBA.SG	F	2825	France	47.98479	7.39916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
France GrandEst MN.SG	F	6050	France	43.21817	2.4127	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
France GrandEst MN.SG	M	6600	France	48.49666	7.47052	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
France HautsDeFrance MN.SG	M	6065	France	49.39246	3.73641	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
France MN	F	6529	France	48.068	4.343999999999999	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	5
France MN	M	6401	France	49.19	-0.38	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
France MN 1	F	6065	France	43.3985	5.4615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
France MontAime MLN.SG	M	5175	France	48.858672999999996	3.9961765	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
France MontAime MLN father.or.son.2H10.SG	M	5157	France	48.858472	3.995887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
France N	M	5700	France	47.523479	-3.154599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
France Occitanie MN.SG	F	6272	France	43.228350000000006	3.1755	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
France Ranchot88	F	10134	France	47.91	5.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
France SouthEast IA2	M	2250	France	43.53	5.27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Georgia Satsurblia.SG	M	13282	Georgia	42.38	42.59	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany AltInden Saxon EMedieval	M	1350	Germany	50.846122	6.357818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany AltInden Saxon EMedieval father.or.son.IND001.A	M	1350	Germany	50.846122	6.357818	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Anderten Saxon Medieval daughter.ADN001.sister.ADN005.ADN009	F	1150	Germany	52.359733	9.869503	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Anderten Saxon Medieval father.ADN005.ADN003.ADN009	M	1150	Germany	52.359733	9.869503	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany BellBeaker	F	4213	Germany	49.409659999999995	12.33004	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
Germany BellBeaker	M	4192	Germany	48.74606666666667	12.874266666666665	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Germany CordedWare	F	4420	Germany	51.42	11.68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany CordedWare o1.SG	F	4627	Germany	48.932	12.259	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Drantum Saxon Medieval	F	1200	Germany	52.81474	8.192343	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Germany Dunum Saxon Medieval dup.DUN001.A	M	1050	Germany	53.596232	7.645448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany Dunum Saxon Medieval dup.DUN001.B	M	1050	Germany	53.596232	7.645448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany EMedieval Alemanic SEurope	M	1345	Germany	48.541111	10.233056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Germany EN LBK	F	7068	Germany	50.4904165	9.9608335	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4
Germany EN LBK	M	7060	Germany	48.78	9.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany EN LBK Stuttgart.DG	F	7168	Germany	48.78	9.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Germany EN LBK lc	M	7125	Germany	51.895833	11.046667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Germany EarlyMedieval.SG	M	1466	Germany	48.735	12.385	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Germany EarlyMedieval o1.SG	F	1364	Germany	48.89	12.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Germany Hiddestorf Saxon EMedieval	M	1550	Germany	52.280438	9.712492	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech BellBeaker	F	4347	Germany	48.31966	10.89153	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech BellBeaker	M	4250	Germany	48.31966	10.89153	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech BellBeaker lc	F	4334	Germany	48.31966	10.89153	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech BellBeaker possible.contam	F	4167	Germany	48.32852	10.89819	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech EBA	F	3796	Germany	48.244685000000004	10.86178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2
Germany Lech EBA	M	3917	Germany	48.29573	10.89103	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech EBA contam	M	3906	Germany	48.26656	10.87857	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech EBA o2 lc	F	3926	Germany	48.26656	10.87857	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
Germany Lech EBA possible.contam	F	3912	Germany	48.283076666666666	10.882889999999998	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3
Germany Lech EBA sister.AITI 77B lc	F	3828	Germany	48.22281	10.84499	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech EBA sister.AITI 77B possible.contam	F	3828	Germany	48.22281	10.84499	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech MBA	M	3709	Germany	48.22519	10.84977	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Lech MBA lc	F	3572	Germany	48.22519	10.84977	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany MN	M	5350	Germany	51.6	8.25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany MN Salzmuende	F	5164	Germany	51.533056	11.833056	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Ofnet lc	F	8277	Germany	48.49	10.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany Saxony LBK N	F	6950	Gernamy	51.87	10.91	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
Germany Saxony LBK N	M	6950	Gernamy	51.87	10.91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Saxony LBK N 1d.rel.DER018	F	6950	Gernamy	51.87	10.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Germany Schleswig Saxon LMedieval	M	800	Germany	54.520535	9.559718	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Germany SouthernGermany Singen EBA	F	3877	Germany	47.767097	8.872239	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Germany SouthernGermany Singen EBA	M	3758	Germany	47.767097	8.872239	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Tauber CordedWare lc	F	4425	Germany	49.468332	9.744072	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Germany Tauber CordedWare lc	M	4453	Germany	49.468332	9.744072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Germany Tollense BA.SG	M	3200	Germany	53.74	13.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Greece Delphi BA Mycenaean	F	3200	Greece	38.399083	22.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Greece Minoan Odigitria	F	3895	Greece	35.051389	24.813611	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Greece N.SG	F	8316	Greece	39.4886	20.9177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Greenland EarlyNorse.SG	F	1103	Greenland	64.25	-50.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Greenland LateNorse lc.SG	F	845	Greenland	64.25	-50.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Guam LateLatte	F	616	Guam	13.576983	144.831288	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Guam LateUnai	F	2581	Guam	13.519983	144.806559	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Guam Latte	F	489	Guam	13.519983000000002	144.806559	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Guam Latte	M	527	Guam	13.519983000000002	144.806559	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Guam Latte brother.I24529	M	500	Guam	13.519983	144.806559	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Guam Latte mother.or.daughter.I24518.I24581	F	525	Guam	13.519983	144.806559	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Guam Latte sister.I24574	F	475	Guam	13.519983	144.806559	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Guam PreLatte	F	1565	Guam	13.519983	144.806559	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Haiti Diale1 Ceramic	F	950	Haiti	19.66	-71.84	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary Avar 5	F	1360	Hungary	46.283333	17.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Hungary BA.SG	M	3850	Hungary	46.283333	17.85	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary C Balaton Lasinja	F	6086	Hungary	45.993	18.58127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Hungary C Balaton Lasinja	M	6231	Hungary	47.102645	17.912987	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary Conqueror Commoner	F	958	Hungary	46.90336333333334	19.186073333333333	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3
Hungary Conqueror Commoner	M	1008	Hungary	47.07167666666667	20.48761	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3
Hungary Conqueror Elite	F	1000	Hungary	46.36556	20.18361	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary Conqueror Elite	M	985	Hungary	47.603368571428575	20.47686428571429	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	7
Hungary DanubeTisza EAvar	M	1300	Hungary	47.0484835	19.231274499999998	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Hungary DanubeTisza LAvar	M	1250	Hungary	46.750679	19.738192	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary DanubeTisza LSarmation EHun	F	1500	Hungary	46.858919	19.718868	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary DanubeTisza MAvar	F	1250	Hungary	47.254721	19.6356	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary EBA BellBeaker	M	4299	Hungary	47.59916	19.05456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Hungary EBA Protonagyrev	M	4011	Hungary	47.429954	19.051966	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary EIA	M	2809	Hungary	47.353728	16.794725	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary EN Koros o	F	7591	Hungary	47.318741	21.527443	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Hungary EN Starcevo 1	M	7558	Hungary	46.208562	18.700047	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Hungary EarlyArpadian	F	917	Hungary	46.98158333333333	20.223126666666666	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
Hungary EarlyAvar	F	1305	Hungary	46.3335	19.5315	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Hungary EarlyAvar	M	1274	Hungary	46.817327500000005	20.21148	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	4
Hungary EarlyAvar Elite	F	1367	Hungary	47.21897	19.37753	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
